Reserve,Type,Date,SiteID,PlotID,Lat,Long,Distance,Orthometric Height,MLLW,Species,Cover,Maximum Canopy Height
ELK,E,09/12/2016,Lavender Ridge,7,36.8162822,-121.7635480,82.2,1.558,1.557,Salicornia pacifica,100,0.26
ELK,E,09/12/2016,Lavender Ridge,8,36.8163052,-121.7636986,95.9,1.571,1.570,Salicornia pacifica,94,0.29
ELK,E,09/12/2016,Lavender Ridge,9,36.8163280,-121.7638486,109.6,1.562,1.561,Salicornia pacifica,100,0.31
ELK,E,09/12/2016,Lavender Ridge,10,36.8163480,-121.7639998,123.25,1.493,1.492,Salicornia pacifica,56,0.09
ELK,E,09/12/2016,Bennett Southwest,1,36.8146700,-121.7771598,0.0,2.197,2.196,Salicornia pacifica,94,0.35
ELK,E,09/12/2016,Bennett Southwest,2,36.8146629,-121.7773027,12.8,1.433,1.433,Salicornia pacifica,94,0.27
ELK,E,09/12/2016,Bennett Southwest,3,36.8146565,-121.7774456,25.6,1.459,1.458,Salicornia pacifica,100,0.34
ELK,E,09/12/2016,Bennett Southwest,4,36.8146499,-121.7775887,38.4,1.485,1.484,Salicornia pacifica,100,0.29
ELK,E,09/14/2016,Bennett Southwest,5,36.8146444,-121.7777317,51.2,1.449,1.448,Salicornia pacifica,100,0.34
ELK,E,09/14/2016,Bennett Southwest,6,36.8146399,-121.7778753,64.0,1.389,1.389,Salicornia pacifica,6,0.26
ELK,E,09/14/2016,Bennett Southwest,8,36.8146301,-121.7781616,89.6,1.473,1.472,Salicornia pacifica,100,0.25
ELK,E,09/14/2016,Bennett Southwest,9,36.8146242,-121.7783051,102.4,1.489,1.489,Salicornia pacifica,100,0.31
ELK,E,09/14/2016,Bennett Southwest,10,36.8146192,-121.7784509,115.5,1.466,1.465,Salicornia pacifica,44,0.35
ELK,E,09/14/2016,Old Salinas River Channel,2,36.7964686,-121.7901717,12.1,1.779,1.778,Salicornia pacifica,100,0.37
ELK,E,09/14/2016,Old Salinas River Channel,3,36.7965084,-121.7900453,24.25,1.709,1.708,Salicornia pacifica,69,0.30
